Name;Position;Games;Goals;assists;rating
Geronimo Rulli;Gardien;44;0;1;7.12
Leonardo Balerdi;Defenseur central;39;2;1;7.18
Facundo Medina;Defenseur central;31;1;2;7.15
Benjamin Pavard;Defenseur central / Lateral droit;36;1;4;7.16
Emerson Palmieri;Lateral gauche;34;2;5;7.08
Timothy Weah;Lateral droit / Ailier droit;37;4;6;7.11
Pierre-Emile Hojbjerg;Milieu defensif;38;3;5;7.24
Geoffrey Kondogbia;Milieu defensif;25;1;1;6.98
Quinten Timber;Milieu central;28;3;3;7.10
Angel Gomes;Milieu central;29;2;5;7.09
Himad Abdelli;Milieu offensif;22;2;3;6.97
Mason Greenwood;Ailier droit;45;26;10;7.74
Igor Paixao;Ailier gauche;39;14;10;7.42
Amine Gouiri;Avant-centre;30;13;6;7.29
Pierre-Emerick Aubameyang;Avant-centre;35;18;6;7.26
Jonathan Rowe;Ailier gauche;27;4;4;6.99
Hamed Junior Traore;Milieu offensif;21;4;3;7.07
